name,behave,evaluation,number,cond,situation,reason,propose,ending,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,key_resp.started,image_2.started,key_resp.keys,key_resp.rt,back.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,predictp.started,mouse_2.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,predictp_2.started,mouse_3.started,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,text.started,predictp_3.started,slider.started,text_2.started,text_3.started,text_4.started,slider.response,slider.rt,text_6.started,text_6.stopped,text_5.started,text_5.stopped,key_resp_6.started,key_resp_6.stopped,key_resp_6.keys,key_resp_2.started,key_resp_2.stopped,image_3.started,image_3.stopped,key_resp_2.keys,predictp_2.stopped,mouse_3.stopped,predictp_3.stopped,text.stopped,key_resp_2.rt,key_resp_6.rt,participant,session,randomization,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,15.15869930000008,2.390000008745119e-05,[0.05694444444444444],[-0.2152777777777778],[1],[0],[0],[7.431846600000426],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,22.548147299999982,22.548147299999982,s,38.124195699999746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
唐静,唐静让妹妹在桌边玩。唐静的妹妹,唐静让妹妹在桌边玩这种行为是：,13,goodPhappyE,materials/situations/13.PNG,materials/happyreason/13.PNG,materials/goodpropose/13.PNG,materials/happyending/13.PNG,0,0,0,0,,,,,,,,,,,,,60.74408679999988,0.05947669999977734,[],[],[],[],[],[],70.69998540000006,0.014298499999767955,[],[],[],[],[],[],80.70149899999979,0.018066499999804364,[],[],[],[],[],[],83.04926960000012,86.00181620000012,88.31218919999992,88.31218919999992,88.31218919999992,88.31218919999992,1.9895833333333335,10.932420000000093,99.22965299999987,103.2318922999998,103.2318922999998,103.2318922999998,103.2318922999998,103.2318922999998,None,103.2318922999998,103.2318922999998,103.2318922999998,103.2318922999998,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
舒玲,舒玲把车借给同学。舒玲的同学,舒玲把自行车借给同学这种行为是：,12,badPsadE,materials/situations/12.PNG,materials/sadreason/12.PNG,materials/badpropose/12.PNG,materials/sadending/12.PNG,0,1,1,1,,,,,,,,,,,,,103.2318922999998,0.008180199999969773,[-0.2423611111111111],[-0.1875],[1],[0],[0],[4.9710070000001],108.2145317999998,0.009291899999880116,[-0.21666666666666667],[-0.13541666666666666],[1],[0],[0],[1.6216627000003427],109.84737099999984,0.008548900000278081,[],[],[],[],[],[],112.15977669999984,115.14919220000002,117.48834880000004,117.48834880000004,117.48834880000004,117.48834880000004,1,6.192574400000012,123.64816440000004,128.65099250000003,128.65099250000003,128.65099250000003,128.65099250000003,128.65099250000003,None,128.65099250000003,128.65099250000003,128.65099250000003,128.65099250000003,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
唐巧,唐巧让男孩走进冒烟的房子。男孩,唐巧让男孩走进冒烟房子这种行为是：,24,badPhappyE,materials/situations/24.PNG,materials/happyreason/24.PNG,materials/badpropose/24.PNG,materials/happyending/24.PNG,0,2,2,2,,,,,,,,,,,,,128.65099250000003,0.011716900000010355,[0.05763888888888889],[-0.19375],[1],[0],[0],[3.762907300000279],132.42747259999987,0.008305399999699148,[0.05763888888888889],[-0.16875],[1],[0],[0],[4.561177099999895],136.9952248999998,0.008737999999993917,[],[],[],[],[],[],139.29833740000004,142.29821970000012,144.60332419999986,144.60332419999986,144.60332419999986,144.60332419999986,1.96875,5.971531799999866,150.5799406000001,156.58927549999999,156.58927549999999,156.58927549999999,156.58927549999999,156.58927549999999,None,156.58927549999999,156.58927549999999,156.58927549999999,156.58927549999999,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
刘晓,刘晓把芝麻放进菜里。客人,刘晓把芝麻放进菜里这种行为是：,11,goodPhappyE,materials/situations/11.PNG,materials/happyreason/11.PNG,materials/goodpropose/11.PNG,materials/happyending/11.PNG,0,3,3,3,,,,,,,,,,,,,156.58927549999999,0.009350799999992887,[-0.09027777777777778],[-0.10972222222222222],[1],[0],[0],[5.56619290000026],162.16406529999995,0.010083499999836931,[-0.09027777777777778],[-0.10972222222222222],[1],[0],[0],[2.9673892000000706],165.14319539999997,0.008400300000175775,[-0.08125],[-0.10069444444444445],[1],[0],[0],[2.108937099999821],167.2885056,170.26177719999987,172.57115750000003,172.57115750000003,172.57115750000003,172.57115750000003,6.0,9.558296500000324,182.1298144000002,185.13176479999993,185.13176479999993,185.13176479999993,185.13176479999993,185.13176479999993,None,185.13176479999993,185.13176479999993,185.13176479999993,185.13176479999993,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
张克,张克邀请朋友吃饼干。他的朋友,张克邀请他的朋友吃饼干这种行为是：,22,badPhappyE,materials/situations/22.PNG,materials/happyreason/22.PNG,materials/badpropose/22.PNG,materials/happyending/22.PNG,0,4,4,4,,,,,,,,,,,,,185.13176479999993,0.007943799999793555,[0.26666666666666666],[-0.19166666666666668],[1],[0],[0],[2.895271000000321],188.03392140000005,0.009251099999801227,[0.26666666666666666],[-0.19166666666666668],[1],[0],[0],[2.3730851999998777],190.41789389999985,0.009397599999829254,[],[],[],[],[],[],192.74618210000017,195.73126559999992,198.03177800000003,198.03177800000003,198.03177800000003,198.03177800000003,6.994791666666666,4.709049799999775,202.7389321999999,206.7453042000002,206.7453042000002,206.7453042000002,206.7453042000002,206.7453042000002,None,206.7453042000002,206.7453042000002,206.7453042000002,206.7453042000002,None,192.74618210000017,2.299626399999852,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
郑宇,郑宇没有阻止朋友开枪。子弹射中了,郑宇没有阻止朋友开枪这种行为：,26,goodPhappyE,materials/situations/26.PNG,materials/happyreason/26.PNG,materials/goodpropose/26.PNG,materials/happyending/26.PNG,0,5,5,5,,,,,,,,,,,,,206.7453042000002,0.010943400000087422,[0.22291666666666668],[-0.11875],[1],[0],[0],[2.8981251999998676],209.65016659999992,0.007761500000015076,[0.25625],[-0.08402777777777778],[1],[0],[0],[4.6586818999999196],214.3214063999999,0.00939299999981813,[],[],[],[],[],[],216.62833390000014,219.6335027,221.93996359999983,221.93996359999983,221.93996359999983,221.93996359999983,4.989583333333334,6.659571500000311,228.59262910000007,232.60639270000001,232.60639270000001,232.60639270000001,232.60639270000001,232.60639270000001,None,232.60639270000001,232.60639270000001,232.60639270000001,232.60639270000001,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
杨乐,"杨乐跳过这一段铁轨的工作。这段铁轨开始运营,",杨乐跳过这一段铁轨工作这种行为是：,17,badPsadE,materials/situations/17.PNG,materials/sadreason/17.PNG,materials/badpropose/17.PNG,materials/sadending/17.PNG,0,6,6,6,,,,,,,,,,,,,232.60639270000001,0.009744299999965733,[0.03958333333333333],[-0.06041666666666667],[1],[0],[0],[1.6553513000003477],234.26630410000007,0.00726570000006177,[0.004861111111111111],[-0.034027777777777775],[1],[0],[0],[3.1257510999998885],237.4035176000002,0.008283200000278157,[],[],[],[],[],[],239.73808980000013,242.70842399999992,245.0179452000002,245.0179452000002,245.0179452000002,245.0179452000002,2.046875,9.544497200000023,254.56459769999992,259.5661441000002,259.5661441000002,259.5661441000002,259.5661441000002,259.5661441000002,None,259.5661441000002,259.5661441000002,259.5661441000002,259.5661441000002,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
胡梅,胡梅把新降落伞给顾客。顾客使用这把降落伞时,胡梅把新降落伞给顾客这种行为：,38,goodPhappyE,materials/situations/38.PNG,materials/happyreason/38.PNG,materials/goodpropose/38.PNG,materials/happyending/38.PNG,0,7,7,7,,,,,,,,,,,,,259.5661441000002,0.009730400000080408,[0.15694444444444444],[-0.07708333333333334],[1],[0],[0],[3.2708714000000327],262.8479788999998,0.010059300000193616,[0.15694444444444444],[-0.07708333333333334],[1],[0],[0],[3.987348199999815],266.8450226,0.006627000000207772,[],[],[],[],[],[],269.18208790000017,272.1514578000001,274.45353609999984,274.45353609999984,274.45353609999984,274.45353609999984,6.166666666666666,8.367795900000147,282.8245477999999,288.83930899999996,288.83930899999996,288.83930899999996,288.83930899999996,288.83930899999996,None,288.83930899999996,288.83930899999996,288.83930899999996,288.83930899999996,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
