name,behave,evaluation,number,cond,situation,reason,propose,ending,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,key_resp.started,image_2.started,key_resp.keys,key_resp.rt,back.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,predictp.started,mouse_2.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,predictp_2.started,mouse_3.started,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,text.started,predictp_3.started,slider.started,text_2.started,text_3.started,text_4.started,slider.response,slider.rt,text_6.started,text_6.stopped,text_5.started,text_5.stopped,key_resp_6.started,key_resp_6.stopped,key_resp_6.keys,key_resp_2.started,key_resp_2.stopped,image_3.started,image_3.stopped,key_resp_2.keys,predictp_2.stopped,mouse_3.stopped,text.stopped,back.stopped,mouse.stopped,predictp_3.stopped,key_resp_6.rt,key_resp_2.rt,participant,session,randomization,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,1241.5581551999985,2.519999907235615e-05,[-0.05416666666666667],[-0.3597222222222222],[1],[0],[0],[16.99767729999985],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,1258.5278280999992,1258.5278280999992,s,24.28844830000162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
路明,路明让伙伴爬上树屋。他的朋友,路明让伙伴爬上树屋这种行为：,41,goodPhappyE,materials/situations/41.PNG,materials/happyreason/41.PNG,materials/goodpropose/41.PNG,materials/happyending/41.PNG,0,0,0,0,,,,,,,,,,,,,1282.8779245999995,0.042571800000587245,[-0.1951388888888889],[0.015277777777777777],[1],[0],[0],[6.28757719999885],1289.1781287999984,0.014187099999617203,[-0.19722222222222222],[0.024305555555555556],[1],[0],[0],[4.070635000000038],1293.2660724999987,0.015343199998824275,[],[],[],[],[],[],1295.5726763999992,1298.5638187999994,1300.8845936999987,1300.8845936999987,1300.8845936999987,1300.8845936999987,3.8229166666666665,16.891156199999386,1317.7580037999996,1322.7603661999983,1322.7603661999983,1322.7603661999983,1322.7603661999983,1322.7603661999983,None,1322.7603661999983,1322.7603661999983,1322.7603661999983,1322.7603661999983,None,,,,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
郑宇,郑宇没有阻止朋友开枪。子弹射中了,郑宇没有阻止朋友开枪这种行为：,26,goodPsadE,materials/situations/26.PNG,materials/sadreason/26.PNG,materials/goodpropose/26.PNG,materials/sadending/26.PNG,0,1,1,1,,,,,,,,,,,,,1322.7603661999983,0.009473300000536256,[0.07152777777777777],[-0.20208333333333334],[1],[0],[0],[6.181732400000328],1328.9537848,0.014451000000917702,[0.04583333333333333],[-0.22708333333333333],[1],[0],[0],[8.320800800000143],1337.2898916999984,0.014142600000923267,[],[],[],[],[],[],1339.587041499999,1342.5941086999992,1344.8911814999992,1344.8911814999992,1344.8911814999992,1344.8911814999992,2.291666666666667,0.40483660000063537,1345.301964799999,1349.315784299999,1349.315784299999,1349.315784299999,1349.315784299999,1349.315784299999,None,1349.315784299999,1349.315784299999,1349.315784299999,1349.315784299999,None,,,,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
叶蓉,叶蓉把小狗卖给女顾客。小狗,叶蓉把小狗卖给女顾客这种行为：,39,goodPsadE,materials/situations/39.PNG,materials/sadreason/39.PNG,materials/goodpropose/39.PNG,materials/sadending/39.PNG,0,2,2,2,,,,,,,,,,,,,1349.315784299999,0.013234899999588379,[-0.08402777777777778],[-0.29930555555555555],[1],[0],[0],[3.32136569999966],1352.6488513999993,0.012859100001151091,[-0.11944444444444445],[-0.3423611111111111],[1],[0],[0],[2.183278900000005],1354.8412626999998,0.008234599999923375,[],[],[],[],[],[],1357.1440656999985,1360.148983699999,1362.4563162999984,1362.4563162999984,1362.4563162999984,1362.4563162999984,1,4.2278030999987095,1366.6795437,1370.6813499,1370.6813499,1370.6813499,1370.6813499,1370.6813499,None,1370.6813499,1370.6813499,1370.6813499,1370.6813499,None,,,,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
孙泽,孙泽买了一袋菠菜给奶奶。他奶奶在晚饭上吃下了这些菠菜后,孙泽买了一袋菠菜给奶奶这种行为：,27,badPsadE,materials/situations/27.PNG,materials/sadreason/27.PNG,materials/badpropose/27.PNG,materials/sadending/27.PNG,0,3,3,3,,,,,,,,,,,,,1370.6813499,0.008997099999760394,[-0.034722222222222224],[-0.26805555555555555],[1],[0],[0],[4.35597400000006],1375.0486881999987,0.013577099998656195,[-0.025],[-0.29375],[1],[0],[0],[3.2058517999994365],1378.2626384999985,0.0076212000003579305,[],[],[],[],[],[],1380.5692025999997,1383.5717144999999,1385.8736836999997,1385.8736836999997,1385.8736836999997,1385.8736836999997,1.140625,5.384343600000648,1391.2535157999991,1397.2521687999997,1397.2521687999997,1397.2521687999997,1397.2521687999997,1397.2521687999997,None,1397.2521687999997,1397.2521687999997,1397.2521687999997,1397.2521687999997,None,,,,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
李浩,李浩不理会侄子胃疼。他的侄子很快就,李浩不理会侄子胃疼这种行为：,31,badPhappyE,materials/situations/31.PNG,materials/happyreason/31.PNG,materials/badpropose/31.PNG,materials/happyending/31.PNG,0,4,4,4,,,,,,,,,,,,,1397.2521687999997,0.00871729999926174,[-0.10902777777777778],[-0.2847222222222222],[1],[0],[0],[7.749251299999742],1405.0125369999987,0.009111400000620051,[],[],[],[],[],[],1415.016965499999,0.014742700001079356,[-0.12708333333333333],[-0.3013888888888889],[1],[0],[0],[0.048042200000054436],1415.0749030999996,1418.0804675,1420.3791035999984,1420.3791035999984,1420.3791035999984,1420.3791035999984,3.0989583333333335,4.1506774999998015,1424.5294225999987,1429.5347702999989,1429.5347702999989,1429.5347702999989,1429.5347702999989,1429.5347702999989,None,1429.5347702999989,1429.5347702999989,1429.5347702999989,1429.5347702999989,None,,,,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
王丽,王丽戴橡胶手套检查病人。病人,王丽戴橡胶手套检查病人这种行为是：,7,goodPsadE,materials/situations/7.PNG,materials/sadreason/7.PNG,materials/goodpropose/7.PNG,materials/sadending/7.PNG,0,5,5,5,,,,,,,,,,,,,1429.5347702999989,0.01304100000015751,[-0.08611111111111111],[-0.20625],[1],[0],[0],[2.6769373000006453],1432.2276833999986,0.012764200000674464,[-0.08611111111111111],[-0.19722222222222222],[1],[0],[0],[6.421243700000559],1438.6538912999986,0.007415199999741162,[],[],[],[],[],[],1440.9554231999991,1443.9593664999993,1446.2644065999993,1446.2644065999993,1446.2644065999993,1446.2644065999993,1.1354166666666665,6.870843000000605,1453.1331561999996,1459.1460756999986,1459.1460756999986,1459.1460756999986,1459.1460756999986,1459.1460756999986,None,1459.1460756999986,1459.1460756999986,1459.1460756999986,1459.1460756999986,None,1440.9554231999991,2.299644000000626,1443.9593664999993,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
陈杰,陈杰离开家去见朋友。警报一直在响，房屋,陈杰离开家去见朋友这种行为：,29,badPhappyE,materials/situations/29.PNG,materials/happyreason/29.PNG,materials/badpropose/29.PNG,materials/happyending/29.PNG,0,6,6,6,,,,,,,,,,,,,1459.1460756999986,0.008065799998803413,[-0.23680555555555555],[-0.2861111111111111],[1],[0],[0],[6.493118500000492],1465.6447660999984,0.006779100000130711,[-0.2263888888888889],[-0.22569444444444445],[1],[0],[0],[9.11002069999995],1474.7630257,0.006711499998345971,[],[],[],[],[],[],1477.0689592999988,1480.0689933999984,1482.3654749999987,1482.3654749999987,1482.3654749999987,1482.3654749999987,3.890625,0.14241069999843603,1482.5068972999998,1485.5184654999994,1485.5184654999994,1485.5184654999994,1485.5184654999994,1485.5184654999994,None,1485.5184654999994,1485.5184654999994,1485.5184654999994,1485.5184654999994,None,,,,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
乔南,乔南点燃熏香。毒气充斥着整座房屋，把害虫都杀光了。邻居的妈妈,乔南点燃熏香这种行为：,35,goodPsadE,materials/situations/35.PNG,materials/sadreason/35.PNG,materials/goodpropose/35.PNG,materials/sadending/35.PNG,0,7,7,7,,,,,,,,,,,,,1485.5184654999994,0.013049099999989267,[0.1451388888888889],[-0.22777777777777777],[1],[0],[0],[5.468738999999914],1490.9985579999993,0.013188200000513461,[0.10416666666666667],[-0.23541666666666666],[1],[0],[0],[6.3725642999997945],1497.3825419999994,0.013797000001432025,[],[],[],[],[],[],1499.6987415999993,1502.6976858999988,1504.9823588999989,1504.9823588999989,1504.9823588999989,1504.9823588999989,2.1197916666666665,5.96191220000037,1510.9467292999998,1514.9519850999986,1514.9519850999986,1514.9519850999986,1514.9519850999986,1514.9519850999986,None,1514.9519850999986,1514.9519850999986,1514.9519850999986,1514.9519850999986,None,,,,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
