instructions.started,instructions.stopped,start_resp.keys,start_resp.rt,start_resp.duration,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,participant,what is your first language?,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,correct,rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,this_word,critical_letter,letter_position,this_question,corr_ans,condition
0.0002,1.046,space,1.0279,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,1.0633,2.6636,left,0,0.5682,,0,0.5682,,,,,,,,0,0,0,3,1,RWOD,K,4,Did the word contain the letter K?,right,nonword
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,2.664,3.8784,left,1,0.2011,,0,0.5682,,,,,,,,0,1,1,8,1,LOAD,O,2,Did the word contain the letter O?,left,word
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,3.8789,5.0945,left,0,0.1994,,0,0.5682,,,,,,,,0,2,2,10,1,LEAD,O,2,Did the word contain the letter O?,right,word
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,5.095,6.281,left,1,0.1655,,0,0.5682,,,,,,,,0,3,3,4,1,CARD,C,1,Did the word contain the letter C?,left,word
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,6.2817,7.5156,left,0,0.2103,,0,0.5682,,,,,,,,0,4,4,2,1,WORD,K,4,Did the word contain the letter K?,right,word
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,7.5159,8.662,left,1,0.1193,,1,0.1193,,,,,,,,0,5,5,5,1,RCAD,C,1,Did the word contain the letter C?,left,nonword
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,8.6626,9.731,left,0,0.0504,,0,0.0504,,,,,,,,0,6,6,11,1,AEDL,O,2,Did the word contain the letter O?,right,nonword
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,9.7315,10.8313,left,1,0.0765,,1,0.0765,,,,,,,,0,7,7,13,1,PNIS,I,3,Did the word contain the letter I?,left,nonword
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,10.8317,11.8644,left,1,0.0037,,1,0.0765,,,,,,,,0,8,8,12,1,SNIP,I,3,Did the word contain the letter I?,left,word
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,11.8647,13.1965,left,1,0.3089,,1,0.0765,,,,,,,,0,9,9,0,1,WORK,K,4,"Did the word contain the letter ""K""",left,word
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,13.197,14.9794,left,0,0.7513,,1,0.0765,,,,,,,,0,10,10,6,1,LARD,C,1,Did the word contain the letter C?,right,word
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,14.9799,16.2317,left,1,0.2164,,1,0.2164,,,,,,,,0,11,11,1,1,RWOK,K,4,"Did the word contain the letter ""K""",left,nonword
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,16.2322,17.3955,left,0,0.1344,,0,0.1344,,,,,,,,0,12,12,7,1,RLAD,C,1,Did the word contain the letter C?,right,nonword
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,17.3959,18.5976,left,0,0.1659,,0,0.1344,,,,,,,,0,13,13,14,1,SNAP,I,3,Did the word contain the letter I?,right,word
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,18.5982,19.732,left,1,0.099,,1,0.099,,,,,,,,0,14,14,9,1,AODL,O,2,Did the word contain the letter O?,left,nonword
,,,,,,,,,,,,130367,,2023-10-20_10h20.30.282,word_superiority_effect,2023.2.2,MacIntel,60.0024001,19.7326,20.7807,left,0,0.0259,,0,0.0259,,,,,,,,0,15,15,15,1,PNAS,I,3,Did the word contain the letter I?,right,nonword
