instructions.started,instructions.stopped,start_resp.keys,start_resp.rt,start_resp.duration,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,participant,what is your first language?,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,correct,rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,this_word,critical_letter,letter_position,this_question,corr_ans,condition,end.started,word_average_acc,nonword_average_acc,word_average_re,nonword_average_rt
1E-04,4.2266,space,4.2008,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,4.2461,8.1273,left,1,2.8533,,,,,,,,,,,0,0,0,0,1,WORK,K,4,"Did the word contain the letter ""K""",left,word,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,8.1357,10.1592,left,1,1.0082,,1,1.0082,,,,,,,,0,1,1,1,1,RWOK,K,4,"Did the word contain the letter ""K""",left,nonword,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,10.1594,12.6266,left,1,1.4353,,1,1.0082,,,,,,,,0,2,2,4,1,CARD,C,1,Did the word contain the letter C?,left,word,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,12.6345,14.9581,right,1,1.3048,,1,1.3048,,,,,,,,0,3,3,15,1,PNAS,I,3,Did the word contain the letter I?,right,nonword,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,14.9584,17.1099,right,1,1.1234,,1,1.3048,,,,,,,,0,4,4,2,1,WORD,K,4,Did the word contain the letter K?,right,word,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,17.1102,19.3593,right,1,1.2348,,1,1.2348,,,,,,,,0,5,5,11,1,AEDL,O,2,Did the word contain the letter O?,right,nonword,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,19.3597,21.8572,right,1,1.4821,,1,1.2348,,,,,,,,0,6,6,14,1,SNAP,I,3,Did the word contain the letter I?,right,word,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,21.8575,23.6769,left,1,0.8048,,1,0.8048,,,,,,,,0,7,7,9,1,AODL,O,2,Did the word contain the letter O?,left,nonword,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,23.6772,26.5747,left,1,1.8675,,1,1.8675,,,,,,,,0,8,8,13,1,PNIS,I,3,Did the word contain the letter I?,left,nonword,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,26.5857,28.3941,left,1,0.7874,,1,1.8675,,,,,,,,0,9,9,8,1,LOAD,O,2,Did the word contain the letter O?,left,word,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,28.3946,30.9268,right,1,1.5244,,1,1.5244,,,,,,,,0,10,10,7,1,RLAD,C,1,Did the word contain the letter C?,right,nonword,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,30.9274,32.5079,left,1,0.5531,,1,0.5531,,,,,,,,0,11,11,5,1,RCAD,C,1,Did the word contain the letter C?,left,nonword,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,32.5082,34.361,left,1,0.8418,,1,0.5531,,,,,,,,0,12,12,12,1,SNIP,I,3,Did the word contain the letter I?,left,word,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,34.3613,36.4941,right,1,1.1212,,1,0.5531,,,,,,,,0,13,13,6,1,LARD,C,1,Did the word contain the letter C?,right,word,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,36.5058,38.3444,right,1,0.8248,,1,0.5531,,,,,,,,0,14,14,10,1,LEAD,O,2,Did the word contain the letter O?,right,word,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,38.3447,40.2109,left,0,0.8368,,0,0.8368,,,,,,,,0,15,15,3,1,RWOD,K,4,Did the word contain the letter K?,right,nonword,,,,,
,,,,,,,,,,,,334537,no,2023-11-14_11h37.20.384,word_superiority_effect,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2123,1,0.875,1.3086625,1.1418
